event_id,is_laundering
ibm_8fe2310ed0118d547523f3a1,0
ibm_160ff80fcae6668103ba17d8,0
ibm_09c9e2000123284c75abac6e,0
ibm_bf10190e3cb41ea222463678,0
ibm_188ab7dc202ce2fbcb57254c,0
ibm_15354821e68ce06139335e6a,0
ibm_959a3893c312e49174e12d2b,0
ibm_745614c54888dff051099c30,0
ibm_ad14c860895a45f10c3b2445,0
ibm_218d42551f687ecabe60d00a,0
ibm_eb7b1a61ac479d16683b2262,0
ibm_da797a2ad1d68a8b70a2c732,0
ibm_be665d6a3bc580575d703197,0
ibm_1ab21a697869fda9376a93ae,0
ibm_9ff868416791c3450a9ff441,0
ibm_f2515fe66c4e5d8be88dc90d,1
ibm_8ee800d6113fe93a2bdc8cd9,0
ibm_80fdaafad89c03d2b1b62068,0
ibm_03f31855df121daacb93a9f8,0
ibm_555f2715a4df56599165ec56,0
ibm_c28c59e79be9e58b50fa5eed,0
ibm_52dc1344e5294384d2680bfc,0
ibm_dfbcd87d1a29862ee6cab830,0
ibm_b5109ad811fb26a57573b6b6,0
ibm_d5ed737fe9c3c13f8acfddcb,0
ibm_8ade0abb0eb96188623fe30c,0
ibm_68649de99b53614c843d0a27,0
ibm_1fa71abfd7f458542ab7dca5,0
ibm_fedcff35139f48c724ce84f7,0
ibm_6f3ad41380511599ace2e8bd,0
ibm_0f5d8a67a03dad1e15a25ca8,0
ibm_c14c47c489c9050b0cd90158,0
ibm_c51af4947cdc9ddc0da23c81,0
ibm_f4c54a5a91e9a43271e8efd8,0
ibm_c1c78ea640fbb23ec4bf079e,0
ibm_be017632c3caeda4ba6a7134,0
ibm_7790d6592cbc136168d400d8,0
ibm_cb3dbd1b75b9576c95ec2d3f,0
ibm_cb46718dbcd2d6d1d9798a38,0
ibm_e9f8ef8a2d92758f482cce92,0
ibm_ee2a0a42680db4533259e67a,0
ibm_150bf15030a47a5c91aadfde,0
ibm_cc114d7defc5f1828cbd77d6,0
ibm_2d1f3d48a0bb9219e65fa792,0
ibm_0babe89200118189f26705ff,0
ibm_e30d910b2ea9b70064b20390,1
ibm_6181d109cb4c97cd68975f62,0
ibm_be69734e009e2e26c31fb043,0
ibm_6bd3b12de164abe39f3a5f45,0
ibm_c0be39ce6501bad0ce329cab,0
ibm_fb97cb3ac9d07b44c7612291,0
ibm_cce20fca4c4180e69214c3e5,0
ibm_4c27635c2d9a0b52f59724a9,0
ibm_859100d9b5b4b5953a85991a,0
ibm_4c1ef7496970341ba8a7b201,0
ibm_511f702661b7eec00f5c88a4,1
ibm_cc7bf50d07939cbe93463e38,0
ibm_d06131cd6955bea8ee40387f,0
ibm_9fc072771869ff16eb101646,0
ibm_bab282a4ce44ca369bb112b5,0
ibm_5c03716854ce02c0484af0d9,0
ibm_a93d165effa623720d411975,0
ibm_0f052dd5e3c5ce1b4236a0ba,0
ibm_8a132320d4317ed6d925c488,0
ibm_269b6f6843847553c5b6c82d,0
ibm_ff531486874e98b7c96b2a19,0
ibm_14752c0880dd1fd637a383fa,0
ibm_9ebb9913587aa3dbfd749314,0
ibm_778c9d3d71756ee8bbca131d,0
ibm_f11149cce9a41d0f77d8b2b9,0
ibm_b3d02c93524891c9108aa43f,0
ibm_faa48c717a111c0ee4c5289b,0
ibm_6782b575edf16315a80e03bb,0
ibm_a0eaa28be821317a4c18041e,0
ibm_809b1b6a08b55943718b342a,1
ibm_c535c52fa38d54fb7728065c,0
ibm_6f83d6728d2b3baf515619a4,0
ibm_377be94a88c248bf3487cdda,0
ibm_33214ea87ad5b3791858939d,0
ibm_f7fef1a7df375a9745628e24,0
ibm_047fffde68bbabbe5c8516f0,0
ibm_47c0cc0009cf131f26c2fd88,0
ibm_13139d07c4ef5db8055a2907,0
ibm_3ac26102909b00b85e33f63b,0
ibm_3da2d514ff162caa4be29fb1,0
ibm_4cb14da7d01afe516539634e,0
ibm_c4d19bb52652b8bd2eadf73a,0
ibm_88ac8d358b777e18a45b5fe5,0
ibm_1dba3b8d2be1fa6d7660aeca,0
ibm_66c0a54c52a8402421a08a89,0
ibm_bd55dee2dbf5c5aea0052e5e,0
ibm_b437708a4d6a90922a366674,0
ibm_beb723309180b5ea98caea40,0
ibm_4048db09d883b50919a9dd81,0
ibm_57a8e864b4a76512ad76849f,0
ibm_c6a48b2ec04eb5b21fa4c8ab,0
ibm_d25e5fadb00150933b3726f6,0
ibm_293ca79cbf2e44b200725e07,0
ibm_769f6d3186f2945efd3a5856,0
ibm_79d0e30b07b0e0d84098f2a4,0
ibm_4662cd82c28b59614b3c2684,0
ibm_8f1e8d980978ed35774afe87,0
ibm_f92204227473ab8e7ce8999c,0
ibm_5c425a4a152d7a7343aa72bd,0
ibm_dc9ea55c34816ba3a24162bc,0
ibm_7f09d209605e72f4ec0b58e4,0
ibm_4758aca749a8e27c2c71eadb,0
ibm_cf8abe043ee598fe364761b3,0
ibm_84ca136eeac89b1b344204eb,0
ibm_61c9e73983713dbb816bf387,0
ibm_2ae64e6d6b7d7cbe354394ca,0
ibm_9a795164c7e353379f218526,0
ibm_bb4c121962d65387b575741d,0
ibm_567e852bf99ca3704f158d6a,0
ibm_821fe0f8b6aeac8da0096d60,0
ibm_33e0b732380ef9fe777a4f47,0
ibm_05b1327f43d4a2a45a2b54f3,0
